   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 15/03/13
 -13.55551 -13.60736 -13.66923 -13.75277 -13.85879 -13.96985 -14.08093 -14.19200
 -12.82615 -12.87494 -12.92739 -12.98125 -13.03533 -13.09178 -13.15180 -13.21585
 -13.28400 -13.35374 -13.42340 -13.49290 -13.55865 -13.61556 -13.66163 -13.70461
 -13.74838 -13.79531 -13.85279 -13.93083 -14.02856 -14.13069 -14.23283 -14.33497
 -13.05357 -13.10205 -13.15465 -13.20748 -13.25903 -13.31406 -13.37069 -13.42848
 -13.49488 -13.56413 -13.63041 -13.69479 -13.75778 -13.81387 -13.85771 -13.89946
 -13.94120 -13.98312 -14.03624 -14.10877 -14.19809 -14.29113 -14.38417 -14.47721
 -13.28098 -13.32917 -13.38192 -13.43370 -13.48274 -13.53633 -13.58958 -13.64111
 -13.70575 -13.77452 -13.83743 -13.89669 -13.95692 -14.01218 -14.05380 -14.09431
 -14.13402 -14.17094 -14.21968 -14.28672 -14.36762 -14.45156 -14.53550 -14.61945
 -13.50840 -13.55628 -13.60918 -13.65993 -13.70645 -13.75861 -13.80847 -13.85375
 -13.91663 -13.98491 -14.04444 -14.09858 -14.15605 -14.21048 -14.24989 -14.28917
 -14.32684 -14.35875 -14.40313 -14.46466 -14.53715 -14.61199 -14.68684 -14.76169
 -13.73582 -13.78339 -13.83644 -13.88615 -13.93016 -13.98089 -14.02736 -14.06638
 -14.12751 -14.19530 -14.25145 -14.30048 -14.35519 -14.40879 -14.44597 -14.48402
 -14.51966 -14.54657 -14.58658 -14.64261 -14.70668 -14.77242 -14.83817 -14.90392
 -13.96323 -14.01051 -14.06370 -14.11238 -14.15387 -14.20317 -14.24625 -14.27901
 -14.33838 -14.40569 -14.45846 -14.50238 -14.55432 -14.60710 -14.64206 -14.67887
 -14.71248 -14.73438 -14.77002 -14.82055 -14.87620 -14.93286 -14.98951 -15.04616
 -14.19065 -14.23762 -14.29096 -14.33860 -14.37758 -14.42545 -14.46514 -14.49165
 -14.54926 -14.61608 -14.66547 -14.70427 -14.75346 -14.80541 -14.83815 -14.87373
 -14.90530 -14.92220 -14.95347 -14.99849 -15.04573 -15.09329 -15.14085 -15.18840
 -14.41806 -14.46473 -14.51822 -14.56483 -14.60129 -14.64772 -14.68403 -14.70428
 -14.76014 -14.82647 -14.87248 -14.90617 -14.95259 -15.00371 -15.03423 -15.06858
 -15.09812 -15.11001 -15.13691 -15.17644 -15.21526 -15.25372 -15.29218 -15.33064
 -14.64548 -14.69185 -14.74548 -14.79105 -14.82500 -14.87000 -14.90292 -14.91691
 -14.97101 -15.03686 -15.07949 -15.10806 -15.15173 -15.20202 -15.23032 -15.26343
 -15.29094 -15.29783 -15.32036 -15.35438 -15.38479 -15.41415 -15.44352 -15.47288
 -14.87290 -14.91896 -14.97274 -15.01728 -15.04870 -15.09228 -15.12181 -15.12954
 -15.18189 -15.24725 -15.28650 -15.30996 -15.35086 -15.40033 -15.42641 -15.45829
 -15.48376 -15.48565 -15.50381 -15.53233 -15.55432 -15.57459 -15.59485 -15.61512
 -15.10031 -15.14607 -15.20000 -15.24350 -15.27241 -15.31456 -15.34070 -15.34218
 -15.39277 -15.45764 -15.49351 -15.51185 -15.55000 -15.59863 -15.62249 -15.65314
 -15.67658 -15.67346 -15.68725 -15.71027 -15.72385 -15.73502 -15.74619 -15.75736
---------------------/ IPRT= 2  / IGRD= 1  /--------/ Z1= 1   / DATE= 15/03/13
 -12.21807 -12.21749 -12.21713 -12.21688 -12.21642 -12.21594 -12.21479 -12.21250
 -12.20972 -12.20636 -12.20220 -12.19697 -12.18952 -12.17673 -12.15077 -12.09529
 -11.98946 -11.81335 -11.55547 -11.22653 -10.85499 -10.47434 -10.09367  -9.71301
 -12.06777 -12.06745 -12.06733 -12.06744 -12.06716 -12.06603 -12.06478 -12.06376
 -12.06145 -12.05749 -12.05288 -12.04928 -12.04630 -12.04169 -12.03193 -12.01309
 -11.97302 -11.89236 -11.74924 -11.52210 -11.22459 -10.91152 -10.59844 -10.28535
 -11.88324 -11.88327 -11.88316 -11.88330 -11.88349 -11.88156 -11.87977 -11.87995
 -11.87872 -11.87494 -11.87016 -11.86743 -11.86692 -11.86691 -11.86517 -11.86093
 -11.85177 -11.83275 -11.79366 -11.69744 -11.53792 -11.36412 -11.19031 -11.01649
 -11.76503 -11.76501 -11.76508 -11.76510 -11.76504 -11.76551 -11.76506 -11.76282
 -11.76096 -11.75945 -11.75776 -11.75614 -11.75535 -11.75597 -11.75805 -11.76089
 -11.76391 -11.76804 -11.77474 -11.76886 -11.74365 -11.71402 -11.68439 -11.65475
 -11.72069 -11.72074 -11.72047 -11.72009 -11.72008 -11.72024 -11.71979 -11.71843
 -11.71696 -11.71540 -11.71404 -11.71385 -11.71476 -11.71728 -11.72241 -11.73031
 -11.74346 -11.76543 -11.79901 -11.85113 -11.92067 -11.99409 -12.06751 -12.14093
 -11.72133 -11.72150 -11.72055 -11.71933 -11.71936 -11.71939 -11.71952 -11.71964
 -11.71811 -11.71705 -11.71736 -11.71729 -11.71894 -11.72421 -11.73375 -11.74837
 -11.77139 -11.80826 -11.86559 -11.95395 -12.07034 -12.19295 -12.31557 -12.43820
 -11.75369 -11.75365 -11.75387 -11.75416 -11.75416 -11.75410 -11.75417 -11.75414
 -11.75328 -11.75234 -11.75232 -11.75413 -11.75949 -11.76930 -11.78396 -11.80548
 -11.83676 -11.88337 -11.95511 -12.06110 -12.19573 -12.33668 -12.47763 -12.61859
 -11.81970 -11.81971 -11.81963 -11.81953 -11.81953 -11.81954 -11.81954 -11.81955
 -11.81964 -11.81990 -11.82080 -11.82357 -11.83083 -11.84459 -11.86575 -11.89501
 -11.93495 -11.99083 -12.07051 -12.18218 -12.32072 -12.46520 -12.60969 -12.75418
 -11.91390 -11.91389 -11.91390 -11.91391 -11.91391 -11.91388 -11.91393 -11.91394
