    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 18/07/15
 -13.25054 -13.28167 -13.31617 -13.36580 -13.40496 -13.44475 -13.50142 -13.54768
 -13.59578 -13.66504 -13.72171 -13.78065 -13.86432 -13.92941 -13.99177 -14.07429
 -14.13773 -14.19928 -14.26965 -14.31164 -14.34458 -14.37758 -14.39823 -14.41833
 -13.55681 -13.58679 -13.61919 -13.66592 -13.70291 -13.74016 -13.79528 -13.84012
 -13.88372 -13.94732 -14.00064 -14.05481 -14.13101 -14.18777 -14.23709 -14.30210
 -14.35337 -14.40128 -14.45280 -14.48139 -14.50242 -14.52219 -14.53406 -14.54553
 -13.75854 -13.78777 -13.81879 -13.86360 -13.89916 -13.93474 -13.98884 -14.03275
 -14.07338 -14.13326 -14.18436 -14.23540 -14.30668 -14.35795 -14.39868 -14.45215
 -14.49540 -14.53433 -14.57343 -14.59320 -14.60639 -14.61743 -14.62352 -14.62932
 -13.97238 -14.00081 -14.03037 -14.07315 -14.10719 -14.14099 -14.19402 -14.23694
 -14.27443 -14.33036 -14.37911 -14.42682 -14.49289 -14.53834 -14.56996 -14.61121
 -14.64596 -14.67536 -14.70131 -14.71172 -14.71659 -14.71840 -14.71836 -14.71814
 -14.21547 -14.24300 -14.27089 -14.31136 -14.34368 -14.37546 -14.42727 -14.46907
 -14.50297 -14.55441 -14.60051 -14.64443 -14.70457 -14.74341 -14.76468 -14.79203
 -14.81712 -14.83569 -14.84668 -14.84645 -14.84188 -14.83318 -14.82617 -14.81911
 -14.38795 -14.41483 -14.44154 -14.48038 -14.51148 -14.54183 -14.59276 -14.63376
 -14.66513 -14.71339 -14.75759 -14.79883 -14.85477 -14.88892 -14.90284 -14.92032
 -14.93856 -14.94945 -14.94983 -14.94205 -14.93077 -14.91461 -14.90266 -14.89075
 -14.63104 -14.65702 -14.68206 -14.71860 -14.74797 -14.77630 -14.82601 -14.86589
 -14.89368 -14.93745 -14.97899 -15.01644 -15.06645 -15.09399 -15.09755 -15.10114
 -15.10972 -15.10977 -15.09520 -15.07679 -15.05606 -15.02939 -15.01047 -14.99172
 -14.93730 -14.96214 -14.98509 -15.01871 -15.04591 -15.07170 -15.11987 -15.15833
 -15.18161 -15.21973 -15.25791 -15.29060 -15.33315 -15.35235 -15.34287 -15.32895
 -15.32535 -15.31177 -15.27835 -15.24654 -15.21390 -15.17400 -15.14629 -15.11892
 -15.13903 -15.16312 -15.18469 -15.21640 -15.24217 -15.26628 -15.31343 -15.35096
 -15.37128 -15.40567 -15.44164 -15.47119 -15.50881 -15.52253 -15.50446 -15.47900
