    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 18/07/15
 -24.95622 -24.95622 -24.95622 -24.95621 -24.95622 -24.95623 -24.95616 -24.95622
 -24.95646 -24.95538 -24.95606 -24.96084 -24.96183 -24.96089 -24.96737 -24.97997
 -24.99823 -25.03733 -25.12446 -25.22030 -25.34815 -25.58092 -25.79196 -26.00765
 -24.97481 -24.97481 -24.97481 -24.97480 -24.97481 -24.97485 -24.97466 -24.97481
 -24.97542 -24.97263 -24.97412 -24.98571 -24.98758 -24.98212 -24.98933 -24.99639
 -25.00696 -25.04529 -25.12932 -25.21746 -25.33715 -25.56204 -25.76922 -25.98134
 -24.98706 -24.98706 -24.98706 -24.98704 -24.98706 -24.98712 -24.98684 -24.98706
 -24.98791 -24.98400 -24.98602 -25.00210 -25.00454 -24.99611 -25.00380 -25.00720
 -25.01271 -25.05053 -25.13252 -25.21560 -25.32990 -25.54961 -25.75424 -25.96401
 -25.00004 -25.00004 -25.00005 -25.00002 -25.00004 -25.00012 -24.99976 -25.00004
 -25.00116 -24.99605 -24.99863 -25.01946 -25.02252 -25.01094 -25.01913 -25.01866
 -25.01881 -25.05608 -25.13591 -25.21362 -25.32222 -25.53642 -25.73837 -25.94565
 -25.01480 -25.01480 -25.01481 -25.01477 -25.01480 -25.01490 -25.01445 -25.01480
 -25.01621 -25.00974 -25.01296 -25.03921 -25.04296 -25.02780 -25.03657 -25.03170
 -25.02574 -25.06240 -25.13976 -25.21137 -25.31349 -25.52144 -25.72032 -25.92476
 -25.02527 -25.02527 -25.02528 -25.02524 -25.02527 -25.02539 -25.02486 -25.02527
 -25.02689 -25.01946 -25.02313 -25.05322 -25.05747 -25.03976 -25.04894 -25.04094
 -25.03066 -25.06688 -25.14250 -25.20978 -25.30729 -25.51080 -25.70752 -25.90995
 -25.04003 -25.04003 -25.04004 -25.03999 -25.04003 -25.04017 -25.03955 -25.04003
 -25.04195 -25.03316 -25.03747 -25.07296 -25.07791 -25.05661 -25.06637 -25.05397
