   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 15/03/13
 -24.36926 -24.38643 -24.41851 -24.47867 -24.56620 -24.65984 -24.75350 -24.84716
 -24.35968 -24.35968 -24.35968 -24.35968 -24.35968 -24.35968 -24.35967 -24.35967
 -24.35968 -24.35966 -24.35968 -24.35980 -24.35935 -24.35915 -24.36100 -24.36516
 -24.37334 -24.38902 -24.41772 -24.47298 -24.55514 -24.64332 -24.73150 -24.81969
 -24.36604 -24.36604 -24.36604 -24.36604 -24.36604 -24.36604 -24.36604 -24.36604
 -24.36606 -24.36600 -24.36604 -24.36633 -24.36525 -24.36428 -24.36652 -24.37039
 -24.37749 -24.39172 -24.41706 -24.46742 -24.54419 -24.62689 -24.70960 -24.79231
 -24.37241 -24.37241 -24.37241 -24.37241 -24.37241 -24.37241 -24.37241 -24.37241
 -24.37244 -24.37235 -24.37241 -24.37286 -24.37116 -24.36941 -24.37205 -24.37562
 -24.38163 -24.39442 -24.41639 -24.46186 -24.53324 -24.61046 -24.68769 -24.76492
 -24.37878 -24.37878 -24.37878 -24.37878 -24.37878 -24.37878 -24.37878 -24.37877
 -24.37882 -24.37869 -24.37878 -24.37940 -24.37706 -24.37454 -24.37757 -24.38085
 -24.38578 -24.39712 -24.41573 -24.45630 -24.52229 -24.59404 -24.66579 -24.73754
 -24.38515 -24.38515 -24.38515 -24.38515 -24.38515 -24.38515 -24.38514 -24.38514
 -24.38520 -24.38504 -24.38515 -24.38593 -24.38296 -24.37967 -24.38310 -24.38608
 -24.38993 -24.39982 -24.41507 -24.45074 -24.51135 -24.57761 -24.64388 -24.71015
 -24.39152 -24.39152 -24.39152 -24.39152 -24.39151 -24.39152 -24.39151 -24.39151
 -24.39158 -24.39138 -24.39151 -24.39247 -24.38886 -24.38480 -24.38862 -24.39131
 -24.39408 -24.40252 -24.41441 -24.44518 -24.50040 -24.56118 -24.62197 -24.68276
 -24.39788 -24.39788 -24.39788 -24.39788 -24.39788 -24.39789 -24.39788 -24.39788
 -24.39796 -24.39773 -24.39788 -24.39900 -24.39476 -24.38993 -24.39415 -24.39654
 -24.39823 -24.40522 -24.41375 -24.43962 -24.48945 -24.54476 -24.60007 -24.65538
 -24.40425 -24.40425 -24.40425 -24.40425 -24.40425 -24.40426 -24.40424 -24.40424
 -24.40434 -24.40407 -24.40425 -24.40554 -24.40066 -24.39506 -24.39967 -24.40177
 -24.40237 -24.40792 -24.41309 -24.43406 -24.47851 -24.52833 -24.57816 -24.62799
 -24.41062 -24.41062 -24.41062 -24.41062 -24.41062 -24.41063 -24.41061 -24.41061
