   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 11/06/14
 -25.70874 -25.71305 -25.72965 -25.75797 -25.81011 -25.94719 -26.09240 -26.24317
 -25.67440 -25.67440 -25.67440 -25.67440 -25.67440 -25.67440 -25.67440 -25.67440
 -25.67440 -25.67441 -25.67440 -25.67440 -25.67443 -25.67440 -25.67429 -25.67497
 -25.67643 -25.67959 -25.69508 -25.72210 -25.77064 -25.89994 -26.03805 -26.18156
 -25.63429 -25.63429 -25.63428 -25.63429 -25.63429 -25.63428 -25.63429 -25.63428
 -25.63428 -25.63429 -25.63428 -25.63427 -25.63432 -25.63428 -25.63415 -25.63503
 -25.63601 -25.63736 -25.65154 -25.67736 -25.72139 -25.84071 -25.96983 -26.10417
 -25.60786 -25.60786 -25.60786 -25.60786 -25.60786 -25.60786 -25.60786 -25.60786
 -25.60786 -25.60786 -25.60786 -25.60785 -25.60790 -25.60786 -25.60771 -25.60873
 -25.60938 -25.60954 -25.62287 -25.64789 -25.68895 -25.80169 -25.92489 -26.05319
 -25.57985 -25.57985 -25.57985 -25.57985 -25.57985 -25.57985 -25.57985 -25.57985
 -25.57985 -25.57985 -25.57985 -25.57983 -25.57989 -25.57985 -25.57969 -25.58084
