   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 19/04/20
  -7.26554  -7.26554  -7.26554  -7.26554  -7.26554  -7.26554  -7.26555  -7.26552
  -7.26546  -7.26581  -7.26618  -7.26612  -7.26558  -7.26518  -7.26482  -7.26276
  -7.25938  -7.25432  -7.24448  -7.23665  -7.22971  -7.21866  -7.20821  -7.19733
  -7.22229  -7.22229  -7.22229  -7.22229  -7.22229  -7.22228  -7.22232  -7.22219
  -7.22188  -7.22355  -7.22515  -7.22460  -7.22403  -7.22429  -7.22364  -7.22163
  -7.21922  -7.21553  -7.20776  -7.20167  -7.19718  -7.18819  -7.17806  -7.16735
  -7.19380  -7.19380  -7.19380  -7.19381  -7.19380  -7.19378  -7.19385  -7.19364
  -7.19318  -7.19571  -7.19812  -7.19725  -7.19665  -7.19734  -7.19649  -7.19445
  -7.19259  -7.18963  -7.18300  -7.17806  -7.17524  -7.16767  -7.15776  -7.14715
  -7.16360  -7.16360  -7.16360  -7.16361  -7.16360  -7.16358  -7.16367  -7.16339
  -7.16276  -7.16620  -7.16947  -7.16826  -7.16763  -7.16877  -7.16770  -7.16559
  -7.16424  -7.16193  -7.15636  -7.15261  -7.15162  -7.14558  -7.13590  -7.12540
  -7.12927  -7.12927  -7.12927  -7.12928  -7.12927  -7.12924  -7.12936  -7.12899
  -7.12818  -7.13266  -7.13689  -7.13531  -7.13463  -7.13629  -7.13495  -7.13273
  -7.13189  -7.13019  -7.12566  -7.12325  -7.12435  -7.12010  -7.11068  -7.10029
  -7.10491  -7.10491  -7.10491  -7.10492  -7.10491  -7.10487  -7.10502  -7.10459
  -7.10364  -7.10886  -7.11378  -7.11192  -7.11122  -7.11323  -7.11171  -7.10938
  -7.10887  -7.10754  -7.10366  -7.10218  -7.10479  -7.10181  -7.09257  -7.08225
  -7.07058  -7.07058  -7.07057  -7.07059  -7.07058  -7.07054  -7.07070  -7.07019
  -7.06906  -7.07531  -7.08121  -7.07897  -7.07823  -7.08074  -7.07893  -7.07644
  -7.07636  -7.07548  -7.07240  -7.07220  -7.07694  -7.07578  -7.06678  -7.05657
  -7.02732  -7.02732  -7.02732  -7.02734  -7.02733  -7.02727  -7.02748  -7.02686
  -7.02548  -7.03305  -7.04017  -7.03745  -7.03665  -7.03979  -7.03763  -7.03490
  -7.03529  -7.03489  -7.03268  -7.03404  -7.04147  -7.04261  -7.03391  -7.02381
  -6.99883  -6.99883  -6.99883  -6.99885  -6.99884  -6.99878  -6.99901  -6.99831
  -6.99678  -7.00521  -7.01314  -7.01010  -7.00927  -7.01282  -7.01042  -7.00752
  -7.00820  -7.00806  -7.00635  -7.00871  -7.01791  -7.02057  -7.01207  -7.00203
  -6.96863  -6.96863  -6.96863  -6.96865  -6.96864  -6.96857  -6.96882  -6.96806
  -6.96636  -6.97570  -6.98449  -6.98111  -6.98024  -6.98423  -6.98157  -6.97848
  -6.97945  -6.97956  -6.97833  -6.98173  -6.99280  -6.99706  -6.98876  -6.97879
  -6.93430  -6.93430  -6.93430  -6.93432  -6.93431  -6.93423  -6.93451  -6.93366
  -6.93178  -6.94216  -6.95192  -6.94815  -6.94723  -6.95172  -6.94877  -6.94545
  -6.94673  -6.94709  -6.94636  -6.95091  -6.96410  -6.97019  -6.96210  -6.95219
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 2   / DATE= 19/04/20
 -71.82719 -71.83274 -71.83828 -71.84534 -71.84999 -71.85313 -71.85955 -71.86361
 -71.85586 -71.97331 -72.18750 -72.29246 -72.33077 -72.38796 -72.44230 -72.50902
 -72.56226 -72.58988 -72.53524 -72.38449 -72.17665 -71.88797 -71.68399 -71.52396
 -65.24012 -64.99837 -64.73070 -64.36139 -64.08540 -63.81425 -63.46494 -63.20658
 -62.94825 -62.60228 -62.33575 -62.06413 -61.69498 -61.40676 -61.11057 -60.69813
 -60.37067 -60.04544 -59.57018 -59.14919 -58.73713 -58.27375 -58.00085 -57.80391
 -43.98830 -43.96215 -43.91930 -43.81547 -43.67075 -43.44072 -43.01688 -42.63600
 -42.23311 -41.68718 -41.26869 -40.84546 -40.27434 -39.82995 -39.37392 -38.75024
 -38.25914 -37.74811 -37.04917 -36.52078 -36.02021 -35.45319 -35.12543 -34.88938
 -33.78659 -33.78433 -33.78115 -33.77488 -33.76680 -33.75123 -33.69391 -33.58645
 -33.38975 -33.00074 -32.63966 -32.24966 -31.70899 -31.28610 -30.85336 -30.26433
 -29.80271 -29.32509 -28.67333 -28.17857 -27.70605 -27.16471 -26.84883 -26.62133
 -26.13628 -26.13482 -26.13298 -26.13074 -26.12983 -26.12965 -26.12845 -26.12076
 -26.09547 -26.00770 -25.86945 -25.64328 -25.22319 -24.84295 -24.43512 -23.87043
 -23.42714 -22.97063 -22.35194 -21.88644 -21.44864 -20.95882 -20.68015 -20.48133
 -20.13778 -20.13944 -20.14146 -20.14400 -20.14483 -20.14371 -20.13970 -20.13703
 -20.13792 -20.13968 -20.12662 -20.07726 -19.91596 -19.69885 -19.39670 -18.90422
 -18.49123 -18.05988 -17.48637 -17.08194 -16.74706 -16.41986 -16.23875 -16.09749
 -17.12701 -17.12655 -17.12599 -17.12529 -17.12505 -17.12529 -17.12634 -17.12681
 -17.12519 -17.11898 -17.11056 -17.09558 -17.04308 -16.94281 -16.75206 -16.36056
 -15.98808 -15.58157 -15.05575 -14.72111 -14.47963 -14.26596 -14.13203 -14.00605
 -14.06432 -14.06442 -14.06455 -14.06472 -14.06478 -14.06468 -14.06451 -14.06447
 -14.06436 -14.06393 -14.06255 -14.05805 -14.04132 -14.00801 -13.93360 -13.71555
 -13.44274 -13.10324 -12.67575 -12.45109 -12.31190 -12.17804 -12.05520 -11.91073
 -11.56016 -11.56016 -11.56017 -11.56009 -11.55999 -11.56009 -11.55982 -11.55904
 -11.55859 -11.55864 -11.55843 -11.55702 -11.55169 -11.54128 -11.51670 -11.42798
 -11.28484 -11.06488 -10.77852 -10.65017 -10.57060 -10.45986 -10.33122 -10.17046
 -10.44441 -10.44436 -10.44432 -10.44430 -10.44431 -10.44426 -10.44412 -10.44405
 -10.44410 -10.44359 -10.44247 -10.44137 -10.43858 -10.43268 -10.41942 -10.37141
 -10.28629 -10.13980  -9.93989  -9.85242  -9.79179  -9.68902  -9.56643  -9.41280
  -9.57091  -9.57070  -9.56986  -9.56884  -9.56882  -9.56891  -9.56882  -9.56867
  -9.56856  -9.56839  -9.56804  -9.56726  -9.56488  -9.56111  -9.55373  -9.52791
  -9.47998  -9.39185  -9.26478  -9.20652  -9.16142  -9.07416  -8.96727  -8.83446
  -8.84730  -8.84720  -8.84682  -8.84643  -8.84654  -8.84656  -8.84634  -8.84616
  -8.84603  -8.84613  -8.84610  -8.84485  -8.84222  -8.84010  -8.83616  -8.82240
  -8.79717  -8.75029  -8.67898  -8.64234  -8.61088  -8.54598  -8.46461  -8.36202
  -8.46267  -8.46268  -8.46274  -8.46267  -8.46241  -8.46224  -8.46222  -8.46220
  -8.46196  -8.46155  -8.46121  -8.46035  -8.45864  -8.45700  -8.45406  -8.44505
  -8.42916  -8.39901  -8.35141  -8.32520  -8.30135  -8.25111  -8.18766  -8.10627
  -8.05279  -8.05277  -8.05267  -8.05239  -8.05216  -8.05209  -8.05212  -8.05199
  -8.05167  -8.05113  -8.05078  -8.05044  -8.04965  -8.04843  -8.04640  -8.04111
  -8.03239  -8.01590  -7.98882  -7.97233  -7.95617  -7.92170  -7.87833  -7.82221
  -7.69559  -7.69556  -7.69542  -7.69526  -7.69528  -7.69535  -7.69524  -7.69506
  -7.69524  -7.69466  -7.69309  -7.69231  -7.69246  -7.69219  -7.69075  -7.68784
  -7.68415  -7.67549  -7.66009  -7.65053  -7.64089  -7.62007  -7.59356  -7.55830
  -7.52893  -7.52894  -7.52894  -7.52896  -7.52897  -7.52890  -7.52878  -7.52878
  -7.52886  -7.52837  -7.52738  -7.52681  -7.52680  -7.52664  -7.52567  -7.52366
  -7.52114  -7.51526  -7.50463  -7.49773  -7.49071  -7.47575  -7.45640  -7.42954
  -7.39606  -7.39606  -7.39607  -7.39607  -7.39607  -7.39606  -7.39605  -7.39606
  -7.39606  -7.39603  -7.39597  -7.39597  -7.39582  -7.39524  -7.39396  -7.39204
  -7.39051  -7.38731  -7.38047  -7.37484  -7.36936  -7.35846  -7.34407  -7.32391
  -7.28918  -7.28917  -7.28917  -7.28917  -7.28916  -7.28917  -7.28918  -7.28918
  -7.28919  -7.28919  -7.28922  -7.28948  -7.28953  -7.28888  -7.28794  -7.28681
  -7.28576  -7.28334  -7.27850  -7.27484  -7.27107  -7.26280  -7.25191  -7.23724
  -7.23735  -7.23735  -7.23735  -7.23735  -7.23735  -7.23735  -7.23735  -7.23735
  -7.23733  -7.23737  -7.23739  -7.23704  -7.23639  -7.23616  -7.23607  -7.23566
  -7.23459  -7.23243  -7.22853  -7.22561  -7.22252  -7.21579  -7.20692  -7.19461
  -7.18733  -7.18733  -7.18733  -7.18733  -7.18733  -7.18733  -7.18733  -7.18733
  -7.18731  -7.18737  -7.18741  -7.18706  -7.18666  -7.18676  -7.18640  -7.18558
  -7.18509  -7.18397  -7.18111  -7.17836  -7.17563  -7.17057  -7.16393  -7.15420
  -7.14327  -7.14327  -7.14327  -7.14327  -7.14327  -7.14327  -7.14327  -7.14327
  -7.14327  -7.14327  -7.14326  -7.14328  -7.14329  -7.14329  -7.14341  -7.14296
  -7.14178  -7.14050  -7.13835  -7.13620  -7.13436  -7.13109  -7.12635  -7.11927
  -7.12049  -7.12049  -7.12049  -7.12049  -7.12049  -7.12049  -7.12049  -7.12049
  -7.12049  -7.12048  -7.12048  -7.12052  -7.12041  -7.12004  -7.11961  -7.11915
  -7.11882  -7.11823  -7.11670  -7.11509  -7.11347  -7.11044  -7.10633  -7.10013
  -7.09935  -7.09935  -7.09935  -7.09935  -7.09935  -7.09935  -7.09935  -7.09935
  -7.09935  -7.09934  -7.09934  -7.09938  -7.09928  -7.09894  -7.09847  -7.09816
  -7.09819  -7.09773  -7.09639  -7.09519  -7.09382  -7.09166  -7.08891  -7.08351
  -7.07605  -7.07605  -7.07605  -7.07605  -7.07605  -7.07605  -7.07605  -7.07605
  -7.07605  -7.07605  -7.07605  -7.07605  -7.07596  -7.07581  -7.07568  -7.07573
  -7.07574  -7.07508  -7.07375  -7.07296  -7.07194  -7.07108  -7.07018  -7.06569
  -7.05950  -7.05950  -7.05950  -7.05950  -7.05950  -7.05950  -7.05950  -7.05950
  -7.05950  -7.05951  -7.05951  -7.05948  -7.05940  -7.05937  -7.05948  -7.05979
  -7.05979  -7.05897  -7.05763  -7.05714  -7.05636  -7.05643  -7.05684  -7.05298
  -7.03616  -7.03616  -7.03616  -7.03616  -7.03616  -7.03616  -7.03616  -7.03616
  -7.03615  -7.03616  -7.03617  -7.03610  -7.03602  -7.03615  -7.03661  -7.03730
  -7.03727  -7.03621  -7.03485  -7.03478  -7.03433  -7.03572  -7.03799  -7.03500
  -7.00670  -7.00670  -7.00670  -7.00670  -7.00670  -7.00670  -7.00670  -7.00670
  -7.00669  -7.00671  -7.00673  -7.00661  -7.00652  -7.00681  -7.00772  -7.00891
  -7.00884  -7.00745  -7.00605  -7.00651  -7.00648  -7.00951  -7.01415  -7.01223
  -6.98727  -6.98727  -6.98727  -6.98727  -6.98727  -6.98727  -6.98727  -6.98727
  -6.98726  -6.98729  -6.98730  -6.98716  -6.98706  -6.98744  -6.98865  -6.99018
  -6.99008  -6.98846  -6.98702  -6.98783  -6.98807  -6.99217  -6.99838  -6.99716
  -6.96665  -6.96665  -6.96665  -6.96665  -6.96665  -6.96665  -6.96665  -6.96666
  -6.96664  -6.96667  -6.96669  -6.96652  -6.96641  -6.96686  -6.96840  -6.97030
  -6.97016  -6.96829  -6.96680  -6.96799  -6.96851  -6.97374  -6.98162  -6.98112
  -6.94319  -6.94319  -6.94319  -6.94319  -6.94319  -6.94319  -6.94319  -6.94319
  -6.94318  -6.94321  -6.94323  -6.94303  -6.94290  -6.94342  -6.94533  -6.94767
  -6.94748  -6.94530  -6.94376  -6.94538  -6.94620  -6.95273  -6.96252  -6.96281
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 3   / DATE= 19/04/20
 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288
 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288
 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288 -73.52288
