    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 07/10/18
  -7.91008  -7.91010  -7.91013  -7.91019  -7.91024  -7.91030  -7.91045  -7.91062
  -7.91078  -7.91092  -7.91097  -7.91101  -7.91103  -7.91103  -7.91106  -7.91111
  -7.91115  -7.91122  -7.91138  -7.91150  -7.91151  -7.91101  -7.91003  -7.90841
  -7.70134  -7.70136  -7.70138  -7.70141  -7.70143  -7.70148  -7.70156  -7.70162
  -7.70168  -7.70176  -7.70179  -7.70181  -7.70183  -7.70186  -7.70187  -7.70188
  -7.70192  -7.70200  -7.70219  -7.70235  -7.70244  -7.70220  -7.70150  -7.70019
  -7.56460  -7.56463  -7.56465  -7.56467  -7.56468  -7.56469  -7.56472  -7.56478
  -7.56483  -7.56488  -7.56490  -7.56491  -7.56492  -7.56492  -7.56494  -7.56498
  -7.56502  -7.56510  -7.56527  -7.56542  -7.56554  -7.56543  -7.56489  -7.56379
  -7.41997  -7.42000  -7.42002  -7.42003  -7.42003  -7.42005  -7.42009  -7.42012
  -7.42016  -7.42019  -7.42020  -7.42021  -7.42021  -7.42022  -7.42022  -7.42023
  -7.42026  -7.42035  -7.42051  -7.42065  -7.42080  -7.42082  -7.42042  -7.41951
  -7.25569  -7.25571  -7.25573  -7.25572  -7.25572  -7.25577  -7.25584  -7.25585
  -7.25585  -7.25587  -7.25588  -7.25588  -7.25590  -7.25591  -7.25589  -7.25585
  -7.25588  -7.25597  -7.25612  -7.25625  -7.25644  -7.25659  -7.25635  -7.25561
  -7.13917  -7.13919  -7.13921  -7.13920  -7.13918  -7.13925  -7.13935  -7.13934
  -7.13933  -7.13935  -7.13935  -7.13935  -7.13937  -7.13940  -7.13936  -7.13928
  -7.13932  -7.13941  -7.13956  -7.13967  -7.13988  -7.14012  -7.13998  -7.13935
  -6.97501  -6.97503  -6.97504  -6.97502  -6.97500  -6.97510  -6.97523  -6.97520
  -6.97517  -6.97518  -6.97519  -6.97518  -6.97521  -6.97525  -6.97519  -6.97507
  -6.97510  -6.97520  -6.97534  -6.97544  -6.97568  -6.97602  -6.97601  -6.97554
  -6.76828  -6.76829  -6.76830  -6.76827  -6.76825  -6.76837  -6.76854  -6.76849
  -6.76845  -6.76846  -6.76846  -6.76845  -6.76849  -6.76854  -6.76845  -6.76829
  -6.76833  -6.76843  -6.76856  -6.76865  -6.76891  -6.76937  -6.76950  -6.76920
  -6.63216  -6.63216  -6.63217  -6.63214  -6.63211  -6.63225  -6.63244  -6.63238
  -6.63233  -6.63234  -6.63235  -6.63233  -6.63238  -6.63244  -6.63234  -6.63215
  -6.63218  -6.63229  -6.63241  -6.63250  -6.63277  -6.63329  -6.63350  -6.63331
  -6.48791  -6.48791  -6.48791  -6.48788  -6.48785  -6.48800  -6.48822  -6.48815
  -6.48809  -6.48810  -6.48810  -6.48809  -6.48813  -6.48820  -6.48809  -6.48788
  -6.48791  -6.48802  -6.48814  -6.48822  -6.48850  -6.48908  -6.48937  -6.48929
  -6.32397  -6.32396  -6.32397  -6.32393  -6.32390  -6.32407  -6.32430  -6.32422
  -6.32416  -6.32417  -6.32417  -6.32415  -6.32421  -6.32428  -6.32416  -6.32392
  -6.32396  -6.32407  -6.32418  -6.32425  -6.32455  -6.32519  -6.32555  -6.32558
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 2   / DATE= 07/10/18
  -9.12856  -9.12856  -9.12856  -9.12856  -9.12856  -9.12856  -9.12856  -9.12856
  -9.12856  -9.12856  -9.12856  -9.12856  -9.12856  -9.12856  -9.12856  -9.12856
  -9.12856  -9.12856  -9.12856  -9.12856  -9.12856  -9.12856  -9.12856  -9.12856
  -9.10934  -9.10934  -9.10934  -9.10934  -9.10934  -9.10934  -9.10934  -9.10934
  -9.10934  -9.10934  -9.10934  -9.10934  -9.10934  -9.10934  -9.10934  -9.10934
  -9.10934  -9.10934  -9.10934  -9.10934  -9.10934  -9.10934  -9.10934  -9.10934
  -9.08703  -9.08703  -9.08703  -9.08703  -9.08703  -9.08703  -9.08703  -9.08703
  -9.08703  -9.08703  -9.08703  -9.08703  -9.08703  -9.08703  -9.08703  -9.08703
  -9.08703  -9.08703  -9.08703  -9.08703  -9.08703  -9.08703  -9.08703  -9.08703
  -9.07300  -9.07300  -9.07300  -9.07300  -9.07300  -9.07300  -9.07301  -9.07301
  -9.07302  -9.07303  -9.07303  -9.07303  -9.07303  -9.07303  -9.07303  -9.07304
  -9.07304  -9.07304  -9.07304  -9.07304  -9.07304  -9.07304  -9.07304  -9.07304
  -9.05834  -9.05834  -9.05835  -9.05835  -9.05837  -9.05840  -9.05847  -9.05856
  -9.05867  -9.05883  -9.05892  -9.05898  -9.05902  -9.05904  -9.05905  -9.05905
  -9.05905  -9.05905  -9.05905  -9.05905  -9.05905  -9.05906  -9.05906  -9.05906
  -9.04248  -9.04250  -9.04253  -9.04261  -9.04274  -9.04300  -9.04366  -9.04452
  -9.04566  -9.04725  -9.04822  -9.04886  -9.04932  -9.04949  -9.04958  -9.04961
  -9.04963  -9.04966  -9.04966  -9.04967  -9.04969  -9.04969  -9.04970  -9.04975
  -9.03293  -9.03297  -9.03305  -9.03329  -9.03368  -9.03442  -9.03634  -9.03882
  -9.04216  -9.04684  -9.04971  -9.05163  -9.05301  -9.05351  -9.05376  -9.05389
  -9.05395  -9.05400  -9.05401  -9.05404  -9.05410  -9.05420  -9.05433  -9.05460
  -9.02090  -9.02101  -9.02123  -9.02188  -9.02293  -9.02490  -9.03002  -9.03654
  -9.04522  -9.05737  -9.06464  -9.06934  -9.07271  -9.07392  -9.07454  -9.07500
  -9.07524  -9.07537  -9.07538  -9.07547  -9.07569  -9.07615  -9.07695  -9.07834
  -9.00120  -9.00141  -9.00184  -9.00311  -9.00515  -9.00897  -9.01877  -9.03108
  -9.04704  -9.06821  -9.08045  -9.08846  -9.09421  -9.09631  -9.09739  -9.09810
  -9.09826  -9.09824  -9.09838  -9.09877  -9.09941  -9.10070  -9.10265  -9.10626
  -8.97680  -8.97707  -8.97759  -8.97915  -8.98166  -8.98635  -8.99826  -9.01300
