   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
    4    2    2    1    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 18/03/13
  -6.53469  -6.47027  -6.37800  -6.27309  -6.16953  -6.06650  -5.96347  -5.86043
  -6.64029  -6.64039  -6.63974  -6.63871  -6.63835  -6.63860  -6.63804  -6.63655
  -6.63697  -6.63779  -6.63691  -6.63427  -6.63151  -6.62703  -6.61634  -6.59655
  -6.55973  -6.49715  -6.40751  -6.30268  -6.19455  -6.08587  -5.97719  -5.86851
  -6.65705  -6.65703  -6.65686  -6.65623  -6.65516  -6.65515  -6.65460  -6.65305
  -6.65461  -6.65752  -6.65811  -6.65486  -6.65216  -6.64837  -6.63725  -6.61978
  -6.58647  -6.52568  -6.43870  -6.33402  -6.22129  -6.10691  -5.99253  -5.87815
  -6.67498  -6.67484  -6.67516  -6.67492  -6.67313  -6.67287  -6.67234  -6.67072
  -6.67341  -6.67842  -6.68048  -6.67661  -6.67398  -6.67087  -6.65932  -6.64417
  -6.61437  -6.55537  -6.47105  -6.36652  -6.24920  -6.12912  -6.00905  -5.88897
  -6.69370  -6.69343  -6.69425  -6.69440  -6.69189  -6.69138  -6.69086  -6.68918
  -6.69300  -6.70011  -6.70365  -6.69915  -6.69658  -6.69416  -6.68219  -6.66935
  -6.64306  -6.58585  -6.50420  -6.39982  -6.27789  -6.15213  -6.02635  -5.90058
  -6.71296  -6.71257  -6.71387  -6.71442  -6.71120  -6.71043  -6.70993  -6.70817
  -6.71313  -6.72234  -6.72735  -6.72223  -6.71973  -6.71800  -6.70560  -6.69508
  -6.67229  -6.61687  -6.53789  -6.43365  -6.30713  -6.17567  -6.04420  -5.91273
  -6.73259  -6.73207  -6.73387  -6.73481  -6.73087  -6.72985  -6.72935  -6.72753
  -6.73363  -6.74494  -6.75142  -6.74568  -6.74324  -6.74220  -6.72938  -6.72117
  -6.70189  -6.64826  -6.57194  -6.46785  -6.33673  -6.19957  -6.06241  -5.92524
  -6.75246  -6.75182  -6.75411  -6.75544  -6.75079  -6.74951  -6.74903  -6.74714
  -6.75438  -6.76778  -6.77573  -6.76937  -6.76700  -6.76664  -6.75340  -6.74751
  -6.73173  -6.67989  -6.60624  -6.50230  -6.36658  -6.22373  -6.08087  -5.93800
