    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 18/07/15
  -7.08002  -7.08024  -7.08025  -7.08026  -7.08010  -7.07957  -7.07936  -7.07960
  -7.07964  -7.07954  -7.07934  -7.07880  -7.07754  -7.07593  -7.07301  -7.06350
  -7.04976  -7.02907  -6.99002  -6.95565  -6.92334  -6.88807  -6.86575  -6.84401
  -7.05485  -7.05581  -7.05593  -7.05570  -7.05521  -7.05403  -7.05397  -7.05482
  -7.05483  -7.05508  -7.05548  -7.05509  -7.05396  -7.05307  -7.05166  -7.04411
  -7.03322  -7.01808  -6.98194  -6.94872  -6.92302  -6.89193  -6.86648  -6.84073
  -7.04020  -7.04166  -7.04184  -7.04146  -7.04074  -7.03914  -7.03919  -7.04043
  -7.04043  -7.04090  -7.04170  -7.04141  -7.04036  -7.03994  -7.03953  -7.03326
  -7.02427  -7.01278  -6.97855  -6.94609  -6.92474  -6.89642  -6.86889  -6.84050
  -7.02579  -7.02777  -7.02803  -7.02749  -7.02653  -7.02448  -7.02464  -7.02630
  -7.02627  -7.02698  -7.02820  -7.02803  -7.02706  -7.02714  -7.02778  -7.02289
  -7.01589  -7.00827  -6.97608  -6.94442  -6.92768  -6.90228  -6.87257  -6.84138
  -7.01037  -7.01295  -7.01329  -7.01258  -7.01134  -7.00878  -7.00906  -7.01120
  -7.01116  -7.01213  -7.01384  -7.01378  -7.01291  -7.01357  -7.01541  -7.01207
  -7.00734  -7.00412  -6.97424  -6.94349  -6.93199  -6.90993  -6.87772  -6.84335
  -6.99988  -7.00288  -7.00328  -7.00243  -7.00101  -6.99809  -6.99845  -7.00093
  -7.00087  -7.00204  -7.00408  -7.00411  -7.00331  -7.00438  -7.00707  -7.00483
  -7.00172  -7.00162  -6.97338  -6.94327  -6.93549  -6.91579  -6.88182  -6.84519
  -6.98552  -6.98911  -6.98960  -6.98857  -6.98687  -6.98344  -6.98393  -6.98688
  -6.98680  -6.98825  -6.99077  -6.99092  -6.99022  -6.99185  -6.99574  -6.99506
  -6.99422  -6.99852  -6.97259  -6.94340  -6.94086  -6.92448  -6.88802  -6.84821
  -6.96791  -6.97226  -6.97284  -6.97159  -6.96954  -6.96547  -6.96612  -6.96967
  -6.96957  -6.97135  -6.97447  -6.97478  -6.97421  -6.97655  -6.98196  -6.98323
  -6.98526  -6.99510  -6.97208  -6.94404  -6.94810  -6.93592  -6.89632  -6.85250
  -6.95651  -6.96134  -6.96200  -6.96059  -6.95833  -6.95383  -6.95458  -6.95852
  -6.95841  -6.96041  -6.96393  -6.96434  -6.96385  -6.96667  -6.97308  -6.97563
  -6.97955  -6.99305  -6.97194  -6.94465  -6.95307  -6.94365  -6.90198  -6.85552
  -6.94453  -6.94989  -6.95062  -6.94905  -6.94655  -6.94160  -6.94246  -6.94682
  -6.94669  -6.94893  -6.95287  -6.95339  -6.95299  -6.95631  -6.96377  -6.96769
  -6.97361  -6.99098  -6.97190  -6.94541  -6.95844  -6.95195  -6.90809  -6.85883
  -6.93101  -6.93697  -6.93777  -6.93603  -6.93325  -6.92779  -6.92878  -6.93362
  -6.93346  -6.93598  -6.94040  -6.94103  -6.94073  -6.94463  -6.95329  -6.95876
  -6.96695  -6.98872  -6.97195  -6.94638  -6.96465  -6.96149  -6.91514  -6.86270
---------------------/ IPRT= 2  / IGRD= 1  /--------/ Z1= 1   / DATE= 18/07/15
 -50.81794 -50.45140 -50.07761 -49.55169 -49.11607 -48.63914 -47.94779 -47.39040
 -46.81749 -46.04987 -45.46713 -44.88674 -44.13757 -43.56950 -42.98845 -42.29878
 -41.59904 -40.64374 -41.02474 -41.87700 -41.37590 -40.24171 -39.74039 -39.29162
 -39.83731 -39.55792 -39.27938 -38.91783 -38.65267 -38.39590 -38.06461 -37.81339
 -37.55366 -37.18184 -36.87339 -36.54216 -36.07644 -35.71862 -35.36422 -34.83841
 -34.43766 -34.03567 -32.83419 -31.68601 -30.99147 -30.26372 -29.61511 -28.95178
 -29.97043 -29.66616 -29.36178 -28.95829 -28.65177 -28.34400 -27.93496 -27.62446
 -27.31409 -26.90510 -26.59660 -26.28868 -25.88595 -25.58671 -25.29345 -24.91394
 -24.58655 -24.17996 -23.64337 -23.22586 -22.71901 -22.00653 -21.47917 -20.95363
 -25.89757 -25.59745 -25.29749 -24.90113 -24.60172 -24.30302 -23.90802 -23.60883
