   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 19/04/20
  -7.29790  -7.29687  -7.29389  -7.28948  -7.28328  -7.27302  -7.26443  -7.25573
  -7.26554  -7.26554  -7.26554  -7.26554  -7.26554  -7.26554  -7.26555  -7.26552
  -7.26546  -7.26581  -7.26619  -7.26614  -7.26566  -7.26539  -7.26536  -7.26460
  -7.26363  -7.26286  -7.26028  -7.25680  -7.25243  -7.24380  -7.23539  -7.22674
  -7.22229  -7.22229  -7.22229  -7.22229  -7.22229  -7.22228  -7.22232  -7.22219
  -7.22189  -7.22355  -7.22515  -7.22462  -7.22408  -7.22443  -7.22401  -7.22293
  -7.22226  -7.22166  -7.21939  -7.21707  -7.21513  -7.20857  -7.20030  -7.19158
  -7.19380  -7.19380  -7.19380  -7.19381  -7.19380  -7.19378  -7.19385  -7.19364
  -7.19319  -7.19571  -7.19812  -7.19726  -7.19669  -7.19745  -7.19678  -7.19547
  -7.19500  -7.19452  -7.19246  -7.19090  -7.19056  -7.18537  -7.17719  -7.16842
  -7.16360  -7.16360  -7.16360  -7.16361  -7.16360  -7.16358  -7.16367  -7.16339
  -7.16276  -7.16620  -7.16947  -7.16827  -7.16766  -7.16885  -7.16791  -7.16637
  -7.16612  -7.16575  -7.16391  -7.16316  -7.16452  -7.16078  -7.15268  -7.14387
  -7.12927  -7.12927  -7.12927  -7.12928  -7.12927  -7.12924  -7.12936  -7.12899
  -7.12818  -7.13266  -7.13690  -7.13531  -7.13465  -7.13634  -7.13510  -7.13329
  -7.13328  -7.13305  -7.13146  -7.13162  -7.13491  -7.13282  -7.12483  -7.11596
  -7.10491  -7.10491  -7.10491  -7.10492  -7.10491  -7.10487  -7.10502  -7.10459
  -7.10364  -7.10886  -7.11379  -7.11193  -7.11124  -7.11327  -7.11181  -7.10982
  -7.10998  -7.10984  -7.10843  -7.10925  -7.11390  -7.11299  -7.10507  -7.09616
  -7.07058  -7.07058  -7.07057  -7.07059  -7.07058  -7.07054  -7.07070  -7.07019
  -7.06906  -7.07531  -7.08121  -7.07897  -7.07823  -7.08076  -7.07900  -7.07674
  -7.07714  -7.07714  -7.07598  -7.07771  -7.08429  -7.08503  -7.07721  -7.06825
