   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 0  /--------/ Z1= 1   / DATE= 11/06/14
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
---------------------/ IPRT= 1  / IGRD= 0  /--------/ Z1= 2   / DATE= 11/06/14
 -28.63235 -28.60739 -28.58120 -28.54125 -28.50299 -28.45534 -28.37754 -28.30840
 -28.23085 -28.11500 -28.01588 -27.90448 -27.73165 -27.57742 -27.40302 -27.14505
 -26.93143 -26.70138 -26.37494 -26.11503 -25.84730 -25.48809 -25.21597 -24.94342
 -28.79941 -28.78210 -28.76353 -28.73491 -28.70746 -28.67280 -28.61581 -28.56525
 -28.50860 -28.42402 -28.35102 -28.26703 -28.13452 -28.01606 -27.88229 -27.68241
 -27.51257 -27.32382 -27.04592 -26.81689 -26.57375 -26.23672 -25.97464 -25.70859
 -28.99459 -28.98326 -28.97037 -28.95202 -28.93609 -28.91408 -28.87632 -28.84354
 -28.80634 -28.74887 -28.69808 -28.64004 -28.54893 -28.46718 -28.37474 -28.23492
 -28.11372 -27.97702 -27.76916 -27.59029 -27.39420 -27.11173 -26.88234 -26.64003
 -29.11562 -29.10776 -29.09965 -29.08631 -29.07246 -29.05562 -29.02840 -29.00390
 -28.97673 -28.93388 -28.89412 -28.84894 -28.77860 -28.71549 -28.64487 -28.53737
 -28.44219 -28.33384 -28.16723 -28.02196 -27.86131 -27.62470 -27.42595 -27.20982
 -29.24016 -29.23469 -29.22896 -29.21958 -29.20989 -29.19780 -29.17811 -29.16042
 -29.14034 -29.10920 -29.08096 -29.04751 -28.99497 -28.94857 -28.89498 -28.81211
 -28.73967 -28.65729 -28.52979 -28.41754 -28.29195 -28.10310 -27.94080 -27.76153
 -29.37625 -29.37254 -29.36815 -29.36165 -29.35588 -29.34794 -29.33439 -29.32253
 -29.30881 -29.28751 -29.26847 -29.24556 -29.20875 -29.17589 -29.13814 -29.07986
 -29.02837 -28.96884 -28.87687 -28.79651 -28.70495 -28.56547 -28.44492 -28.30891
 -29.47358 -29.47090 -29.46743 -29.46226 -29.45792 -29.45184 -29.44181 -29.43340
 -29.42309 -29.40659 -29.39208 -29.37456 -29.34608 -29.32058 -29.29168 -29.24698
 -29.20688 -29.16041 -29.08837 -29.02526 -28.95382 -28.84404 -28.74757 -28.63864
 -29.47559 -29.47655 -29.47684 -29.47671 -29.47649 -29.47568 -29.47338 -29.47079
 -29.46752 -29.46145 -29.45507 -29.44731 -29.43424 -29.42164 -29.40691 -29.38333
 -29.36145 -29.33572 -29.29464 -29.25752 -29.21526 -29.14856 -29.08739 -29.01626
 -28.94116 -28.94905 -28.95609 -28.96431 -28.97036 -28.97689 -28.98611 -28.99255
 -28.99726 -29.00434 -29.01141 -29.01498 -29.01788 -29.02251 -29.02573 -29.02807
 -29.02985 -29.03015 -29.02775 -29.02415 -29.01869 -29.00785 -28.99639 -28.98180
 -28.58005 -28.58880 -28.59709 -28.60710 -28.61441 -28.62245 -28.63348 -28.64129
 -28.64903 -28.65899 -28.66603 -28.67287 -28.68187 -28.68820 -28.69290 -28.69871
 -28.70413 -28.70825 -28.71107 -28.71238 -28.71415 -28.71549 -28.71424 -28.71188
 -28.34718 -28.35625 -28.36520 -28.37600 -28.38341 -28.39147 -28.40293 -28.41150
 -28.42015 -28.43074 -28.43780 -28.44520 -28.45468 -28.46079 -28.46689 -28.47476
 -28.47986 -28.48415 -28.48924 -28.49291 -28.49587 -28.49879 -28.50029 -28.50047
 -28.23494 -28.24408 -28.25313 -28.26410 -28.27166 -28.27985 -28.29158 -28.30033
 -28.30874 -28.31928 -28.32694 -28.33454 -28.34430 -28.35125 -28.35784 -28.36561
 -28.37061 -28.37521 -28.38080 -28.38451 -28.38765 -28.39071 -28.39233 -28.39400
 -28.22873 -28.23795 -28.24700 -28.25791 -28.26548 -28.27375 -28.28549 -28.29418
 -28.30278 -28.31363 -28.32127 -28.32881 -28.33859 -28.34558 -28.35217 -28.36007
 -28.36535 -28.37019 -28.37592 -28.37954 -28.38227 -28.38518 -28.38743 -28.38948
 -28.29393 -28.30317 -28.31218 -28.32302 -28.33057 -28.33871 -28.35017 -28.35872
 -28.36738 -28.37847 -28.38618 -28.39359 -28.40339 -28.41077 -28.41760 -28.42548
 -28.43077 -28.43586 -28.44198 -28.44569 -28.44845 -28.45131 -28.45331 -28.45490
 -28.45994 -28.46917 -28.47823 -28.48885 -28.49582 -28.50331 -28.51500 -28.52448
 -28.53278 -28.54299 -28.55127 -28.55880 -28.56839 -28.57621 -28.58344 -28.59130
 -28.59618 -28.60070 -28.60677 -28.61115 -28.61419 -28.61674 -28.61874 -28.62122
 -28.60257 -28.61140 -28.61942 -28.63009 -28.63873 -28.64617 -28.65622 -28.66541
 -28.67355 -28.68383 -28.69247 -28.69973 -28.70885 -28.71671 -28.72299 -28.73061
 -28.73755 -28.74326 -28.74809 -28.75075 -28.75359 -28.75778 -28.76065 -28.76267
 -28.76837 -28.77690 -28.78595 -28.79638 -28.80275 -28.81110 -28.82289 -28.82975
 -28.83668 -28.84812 -28.85765 -28.86471 -28.87339 -28.88163 -28.88720 -28.89315
 -28.89967 -28.90513 -28.91077 -28.91499 -28.91810 -28.92085 -28.92304 -28.92579
 -28.96470 -28.97266 -28.98126 -28.99159 -28.99803 -29.00550 -29.01594 -29.02288
 -29.03020 -29.04070 -29.04844 -29.05530 -29.06409 -29.07104 -29.07691 -29.08390
 -29.08945 -29.09399 -29.09925 -29.10342 -29.10647 -29.10910 -29.11103 -29.11308
 -29.10063 -29.10787 -29.11537 -29.12509 -29.13193 -29.13835 -29.14712 -29.15444
 -29.16176 -29.17105 -29.17772 -29.18394 -29.19190 -29.19801 -29.20384 -29.21113
 -29.21630 -29.22068 -29.22552 -29.22882 -29.23161 -29.23441 -29.23603 -29.23766
 -29.27052 -29.27646 -29.28278 -29.29114 -29.29702 -29.30250 -29.30958 -29.31528
 -29.32150 -29.32949 -29.33478 -29.34017 -29.34717 -29.35188 -29.35646 -29.36255
 -29.36692 -29.37047 -29.37444 -29.37733 -29.37943 -29.38168 -29.38354 -29.38482
 -29.42219 -29.42621 -29.43001 -29.43539 -29.43980 -29.44322 -29.44781 -29.45241
 -29.45622 -29.46056 -29.46437 -29.46792 -29.47268 -29.47664 -29.47982 -29.48291
 -29.48525 -29.48792 -29.49121 -29.49279 -29.49368 -29.49513 -29.49690 -29.49814
 -29.47091 -29.47380 -29.47698 -29.48126 -29.48422 -29.48690 -29.49003 -29.49223
 -29.49450 -29.49828 -29.50152 -29.50365 -29.50596 -29.50841 -29.51030 -29.51288
 -29.51550 -29.51687 -29.51803 -29.51980 -29.52106 -29.52216 -29.52305 -29.52318
 -29.48293 -29.48470 -29.48657 -29.48891 -29.49053 -29.49241 -29.49436 -29.49510
 -29.49649 -29.49902 -29.50071 -29.50248 -29.50447 -29.50533 -29.50606 -29.50770
